899#70510元/平米#香溢花城(住宅)#普陀 光新 内环至中环##房屋户型2室1厅1厨2卫#建筑面积127.5㎡#房屋朝向南#装修情况精装#配备电梯有
350#37061元/平米#东唐苑#浦东 唐镇 外环外#近2号线唐镇站#房屋户型3室1厅1厨1卫#建筑面积94.44㎡#房屋朝向南 北#装修情况精装#配备电梯无
550#73955元/平米#和源馨苑#静安 西藏北路 内环内#近8号线中兴路站#房屋户型2室1厅1厨1卫#建筑面积74.37㎡#房屋朝向东南#装修情况精装#配备电梯有
380#46433元/平米#星福家园#宝山 上大 中环至外环##房屋户型2室2厅1厨1卫#建筑面积81.84㎡#房屋朝向南 北#装修情况精装#配备电梯无
173#32391元/平米#安阁苑#浦东 周浦 外环外##房屋户型1室1厅1厨1卫#建筑面积53.41㎡#房屋朝向南#装修情况简装#配备电梯无
330#44469元/平米#古北菊翔苑(菊联路233弄)#宝山 顾村 外环外##房屋户型2室2厅1厨1卫#建筑面积74.21㎡#房屋朝向南 北#装修情况精装#配备电梯有
210#64398元/平米#眉州路432弄#杨浦 东外滩 #近12号线宁国路站#房屋户型2室1厅1厨1卫#建筑面积32.61㎡#房屋朝向南#装修情况精装#配备电梯无
309#41939元/平米#紫藤二村#闵行 梅陇 中环至外环##房屋户型2室1厅1厨1卫#建筑面积73.68㎡#房屋朝向南#装修情况精装#配备电梯无
438.5#50000元/平米#中建溪岸澜庭#嘉定 南翔 外环外##房屋户型3室2厅1厨1卫#建筑面积87.7㎡#房屋朝向南#装修情况精装#配备电梯有
148#41785元/平米#泗塘五村#宝山 张庙 中环至外环##房屋户型1室0厅0厨1卫#建筑面积35.42㎡#房屋朝向南#装修情况简装#配备电梯无
430#39091元/平米#爱法花园(一期)#浦东 曹路 外环外##房屋户型3室2厅1厨2卫#建筑面积110㎡#房屋朝向南#装修情况简装#配备电梯无
490#76064元/平米#谨斜小区#徐汇 徐家汇 内环内#近4号线东安路站#房屋户型3室1厅1厨1卫#建筑面积64.42㎡#房屋朝向南#装修情况简装#配备电梯无
638#81119元/平米#樱花路309弄#浦东 花木 内环内#近2号线世纪公园站#房屋户型2室1厅1厨1卫#建筑面积78.65㎡#房屋朝向南#装修情况简装#配备电梯无
658#53935元/平米#凯佳公寓#浦东 川沙 外环外#近2号线凌空路站#房屋户型3室2厅1厨1卫#建筑面积122㎡#房屋朝向南#装修情况毛坯#配备电梯有
455#46667元/平米#春申府邸#闵行 莘庄 外环外#近5号线春申路站#房屋户型2室2厅1厨2卫#建筑面积97.5㎡#房屋朝向南#装修情况精装#配备电梯无
448#63019元/平米#江南新村(徐汇)#徐汇 斜土路 内环内#近4号线大木桥路站#房屋户型2室1厅1厨1卫#建筑面积71.09㎡#房屋朝向南#装修情况简装#配备电梯无
200#49481元/平米#紫藤一村#闵行 梅陇 中环至外环#近1号线莲花路站#房屋户型1室1厅1厨1卫#建筑面积40.42㎡#房屋朝向南#装修情况简装#配备电梯无
477#62029元/平米#大华锦绣华城(二街区)#浦东 北蔡 内环至中环#近13号线华鹏路站#房屋户型2室1厅1厨1卫#建筑面积76.9㎡#房屋朝向南#装修情况简装#配备电梯有
283#43180元/平米#华泾五村#徐汇 华泾 外环外##房屋户型2室1厅1厨1卫#建筑面积65.54㎡#房屋朝向南#装修情况简装#配备电梯无
589#34701元/平米#绿洲香岛花园#松江 莘闵别墅 外环外##房屋户型3室2厅1厨2卫#建筑面积169.74㎡#房屋朝向南 北#装修情况精装#配备电梯有
458#108609元/平米#泉东(二)小区#浦东 潍坊 内环内#近9号线商城路站#房屋户型2室1厅1厨1卫#建筑面积42.17㎡#房屋朝向南#装修情况精装#配备电梯无
120#19583元/平米#菜场路1177弄#奉贤 南桥 外环外##房屋户型2室1厅1厨1卫#建筑面积61.28㎡#房屋朝向南 北#装修情况精装#配备电梯无
370#65510元/平米#制造局路507-529号#黄浦 蓬莱公园 内环内#近4号线西藏南路站#房屋户型2室1厅1厨1卫#建筑面积56.48㎡#房屋朝向东 西#装修情况精装#配备电梯无
182#41430元/平米#逸仙路1321弄#宝山 高境 中环至外环#近3号线殷高西路站#房屋户型1室1厅1厨1卫#建筑面积43.93㎡#房屋朝向南 北#装修情况简装#配备电梯无
235#45765元/平米#东波苑二街坊#浦东 金桥 中环至外环#近12号线东陆路站#房屋户型1室1厅1厨1卫#建筑面积51.35㎡#房屋朝向南#装修情况简装#配备电梯无
420#57136元/平米#高雅新村#徐汇 华东理工 中环至外环##房屋户型2室2厅1厨1卫#建筑面积73.51㎡#房屋朝向南#装修情况精装#配备电梯无
205#50693元/平米#凤城三村#杨浦 控江路 内环内#近8号线江浦路站#房屋户型1室1厅1厨1卫#建筑面积40.44㎡#房屋朝向南#装修情况精装#配备电梯无
265#51447元/平米#延吉东路125弄#杨浦 控江路 内环至中环##房屋户型2室1厅1厨1卫#建筑面积51.51㎡#房屋朝向南#装修情况精装#配备电梯无
490#76432元/平米#金鹿大楼#黄浦 淮海中路 内环内#近1号线黄陂南路站#房屋户型1室1厅1厨1卫#建筑面积64.11㎡#房屋朝向东南#装修情况精装#配备电梯有
230#47679元/平米#罗山四村#浦东 金杨 内环至中环#近6号线德平路站#房屋户型2室0厅1厨1卫#建筑面积48.24㎡#房屋朝向南#装修情况简装#配备电梯无
225#38914元/平米#汤巷馨村(二期)#浦东 康桥 外环外##房屋户型1室1厅1厨1卫#建筑面积57.82㎡#房屋朝向南 北#装修情况简装#配备电梯无
585#65145元/平米#华滨家园#徐汇 植物园 中环至外环##房屋户型2室2厅1厨1卫#建筑面积89.8㎡#房屋朝向南 北#装修情况毛坯#配备电梯有
345#44940元/平米#新梅花苑#闵行 古美 中环至外环#近1号线外环路站#房屋户型2室1厅1厨1卫#建筑面积76.77㎡#房屋朝向南#装修情况精装#配备电梯无
300#47514元/平米#国和一村#杨浦 中原 中环至外环#近8号线嫩江路站#房屋户型2室1厅1厨1卫#建筑面积63.14㎡#房屋朝向南#装修情况简装#配备电梯无
315#32475元/平米#宝业万华城#浦东 惠南 外环外##房屋户型3室2厅1厨1卫#建筑面积97㎡#房屋朝向南 北#装修情况精装#配备电梯有
950#78552元/平米#友力大厦#长宁 新华路 内环内#近3号线延安西路站#房屋户型2室2厅1厨1卫#建筑面积120.94㎡#房屋朝向南#装修情况精装#配备电梯有
148#26658元/平米#万寿新村(青浦)#青浦 盈浦 外环外##房屋户型2室1厅1厨1卫#建筑面积55.52㎡#房屋朝向南#装修情况简装#配备电梯无
235#48969元/平米#曹杨五村(南杨园)#普陀 曹杨 内环至中环#近3号线金沙江路站#房屋户型2室1厅1厨1卫#建筑面积47.99㎡#房屋朝向南 北#装修情况简装#配备电梯无
163#28733元/平米#红旗四街坊#闵行 老闵行 外环外##房屋户型2室1厅1厨1卫#建筑面积56.73㎡#房屋朝向南#装修情况精装#配备电梯无
425#64026元/平米#莲花河畔景苑#闵行 梅陇 中环至外环##房屋户型1室2厅1厨1卫#建筑面积66.38㎡#房屋朝向南#装修情况精装#配备电梯有
520#73168元/平米#黄山新村#浦东 金杨 内环至中环#近6号线云山路站#房屋户型2室1厅1厨1卫#建筑面积71.07㎡#房屋朝向南#装修情况精装#配备电梯无
368#38709元/平米#水岸金桥苑#嘉定 江桥 外环外##房屋户型3室2厅1厨1卫#建筑面积95.07㎡#房屋朝向南#装修情况精装#配备电梯有
340#95426元/平米#古柏小区#静安 静安寺 内环内#近2号线静安寺站#房屋户型1室1厅1厨1卫#建筑面积35.63㎡#房屋朝向南#装修情况精装#配备电梯无
249#44417元/平米#紫晶苑#浦东 张江 中环至外环##房屋户型1室1厅1厨1卫#建筑面积56.06㎡#房屋朝向南#装修情况简装#配备电梯无
798#85111元/平米#悦公馆(永和东路)#静安 大宁 内环至中环#近1号线汶水路站#房屋户型2室2厅1厨1卫#建筑面积93.76㎡#房屋朝向南 北#装修情况精装#配备电梯有
308#39701元/平米#安居锦竹苑#普陀 桃浦 外环外##房屋户型2室1厅1厨1卫#建筑面积77.58㎡#房屋朝向南#装修情况精装#配备电梯有
685#67164元/平米#中远两湾城#普陀 中远两湾城 内环内#近3号线中潭路站#房屋户型2室2厅1厨1卫#建筑面积101.99㎡#房屋朝向南#装修情况简装#配备电梯有
258#91167元/平米#延长小区(闸北)#静安 大宁 内环至中环#近1号线延长路站#房屋户型1室1厅1厨1卫#建筑面积28.3㎡#房屋朝向南#装修情况精装#配备电梯无
1250#87621元/平米#碧云东方公寓#浦东 碧云 内环至中环##房屋户型3室2厅1厨2卫#建筑面积142.66㎡#房屋朝向西南#装修情况精装#配备电梯有
396#43724元/平米#邻里苑#闵行 莘庄 外环外#近5号线春申路站#房屋户型2室2厅1厨1卫#建筑面积90.57㎡#房屋朝向南#装修情况简装#配备电梯有
340#54080元/平米#香山新村西北街坊#浦东 金杨 内环至中环#近6号线德平路站#房屋户型2室1厅1厨1卫#建筑面积62.87㎡#房屋朝向南 北#装修情况精装#配备电梯无
615#85358元/平米#银南大厦#黄浦 蓬莱公园 内环内#近8号线陆家浜路站#房屋户型2室1厅1厨1卫#建筑面积72.05㎡#房屋朝向南#装修情况精装#配备电梯有
398#68046元/平米#怡福苑#杨浦 五角场 内环至中环#近10号线(新江湾城-虹桥火车站)五角场站#房屋户型2室1厅1厨1卫#建筑面积58.49㎡#房屋朝向西北#装修情况简装#配备电梯有
263#53402元/平米#泾华新村#浦东 洋泾 内环内#近6号线北洋泾路站#房屋户型1室1厅1厨1卫#建筑面积49.25㎡#房屋朝向南#装修情况简装#配备电梯无
188#57230元/平米#太浜巷小区#普陀 光新 内环至中环#近3号线镇坪路站#房屋户型1室0厅1厨1卫#建筑面积32.85㎡#房屋朝向南#装修情况精装#配备电梯无
243#52180元/平米#金杨新村五街坊#浦东 金杨 内环至中环#近6号线云山路站#房屋户型1室1厅1厨1卫#建筑面积46.57㎡#房屋朝向南#装修情况简装#配备电梯无
214#42655元/平米#凌兆新村(凌兆路379弄)#浦东 三林 中环至外环#近6号线灵岩南路站#房屋户型1室1厅1厨1卫#建筑面积50.17㎡#房屋朝向南#装修情况精装#配备电梯无
451#78001元/平米#峨海小区#浦东 塘桥 内环内#近4号线蓝村路站#房屋户型2室1厅0厨1卫#建筑面积57.82㎡#房屋朝向南#装修情况简装#配备电梯有
285#75119元/平米#茶陵北路7弄#徐汇 斜土路 内环内#近9号线嘉善路站#房屋户型1室1厅1厨1卫#建筑面积37.94㎡#房屋朝向南#装修情况精装#配备电梯无
335#85547元/平米#东昌新村#浦东 陆家嘴 内环内#近2号线东昌路站#房屋户型1室1厅1厨1卫#建筑面积39.16㎡#房屋朝向南 北#装修情况精装#配备电梯无
439#41412元/平米#奥林匹克花园#松江 九亭 外环外##房屋户型3室2厅1厨2卫#建筑面积106.01㎡#房屋朝向南#装修情况精装#配备电梯无
308#42054元/平米#南新二村#浦东 北蔡 内环至中环##房屋户型2室1厅1厨1卫#建筑面积73.24㎡#房屋朝向南#装修情况精装#配备电梯无
365#54155元/平米#香山新村西北街坊#浦东 金杨 内环至中环#近6号线德平路站#房屋户型2室1厅1厨1卫#建筑面积67.4㎡#房屋朝向南#装修情况简装#配备电梯无
269#69871元/平米#蒙自新村#黄浦 五里桥 内环内#近4号线鲁班路站#房屋户型1室1厅1厨1卫#建筑面积38.5㎡#房屋朝向东 东南#装修情况精装#配备电梯无
605#86097元/平米#书香逸居#徐汇 长桥 中环至外环##房屋户型2室1厅1厨1卫#建筑面积70.27㎡#房屋朝向南#装修情况精装#配备电梯有
215#64662元/平米#日晖六村#徐汇 斜土路 内环内#近4号线大木桥路站#房屋户型1室0厅1厨1卫#建筑面积33.25㎡#房屋朝向南#装修情况精装#配备电梯无
358#52951元/平米#新梅绿岛苑#宝山 共康 中环至外环#近1号线呼兰路站#房屋户型2室1厅1厨1卫#建筑面积67.61㎡#房屋朝向南#装修情况精装#配备电梯有
1100#77085元/平米#世茂湖滨花园(公寓)#浦东 碧云 内环至中环##房屋户型2室2厅1厨2卫#建筑面积142.7㎡#房屋朝向南#装修情况简装#配备电梯有
345#56162元/平米#平南一二村#闵行 古美 中环至外环#近12号线东兰路站#房屋户型2室1厅1厨1卫#建筑面积61.43㎡#房屋朝向南#装修情况简装#配备电梯无
345#49293元/平米#万荣小区#静安 阳城 内环至中环##房屋户型2室2厅1厨1卫#建筑面积69.99㎡#房屋朝向东 南#装修情况简装#配备电梯无
951#56706元/平米#上海春城#闵行 春申 外环外##房屋户型3室2厅1厨2卫#建筑面积167.71㎡#房屋朝向南#装修情况精装#配备电梯有
345#82143元/平米#园南三村#徐汇 植物园 内环至中环##房屋户型1室1厅1厨1卫#建筑面积42㎡#房屋朝向南#装修情况简装#配备电梯无
530#78624元/平米#开发浦东#浦东 潍坊 内环内#近9号线商城路站#房屋户型2室1厅1厨1卫#建筑面积67.41㎡#房屋朝向南 西#装修情况精装#配备电梯有
