350#66553元/平米#京浦小区#浦东 御桥 中环至外环#近11号线(花桥-迪士尼)御桥站#房屋户型2室1厅1厨1卫#建筑面积52.59㎡#房屋朝向南#装修情况精装#配备电梯无#2020-04-16
310#63317元/平米#雪野二村#浦东 世博 内环至中环#近7号线云台路站#房屋户型2室1厅1厨1卫#建筑面积48.96㎡#房屋朝向南 北#装修情况简装#配备电梯无#2020-04-16
468#65972元/平米#金鹏花园#杨浦 周家嘴路 内环内#近12号线江浦公园站#房屋户型2室1厅1厨1卫#建筑面积70.94㎡#房屋朝向西南#装修情况简装#配备电梯有#2019-09-12
321#39926元/平米#绿地新江桥城一期#嘉定 江桥 ##房屋户型2室2厅1厨1卫#建筑面积80.4㎡#房屋朝向南#装修情况毛坯#配备电梯有#2019-09-13
280#40335元/平米#共富四村#宝山 共富 中环至外环##房屋户型2室1厅1厨1卫#建筑面积69.42㎡#房屋朝向南#装修情况精装#配备电梯无#2019-09-22
445#39218元/平米#和泰苑#宝山 大场镇 中环至外环##房屋户型3室2厅1厨2卫#建筑面积113.47㎡#房屋朝向南 北#装修情况简装#配备电梯无#2019-09-24
415#32422元/平米#金地自在城(二期)#松江 泗泾 外环外##房屋户型4室2厅1厨2卫#建筑面积128㎡#房屋朝向南#装修情况精装#配备电梯有#2019-09-26
1150#82865元/平米#徐汇苑#徐汇 龙华 内环至中环#近11号线(花桥-迪士尼)上海游泳馆站#房屋户型3室2厅0厨2卫#建筑面积138.78㎡#房屋朝向南#装修情况简装#配备电梯有#2019-09-30
330#51961元/平米#盛华景苑#徐汇 华泾 外环外##房屋户型1室1厅1厨1卫#建筑面积63.51㎡#房屋朝向南#装修情况毛坯#配备电梯有#2019-10-12
445#47255元/平米#浦江世博家园四街坊#闵行 浦江 外环外#近8号线江月路站#房屋户型3室2厅1厨1卫#建筑面积94.17㎡#房屋朝向南 东 西#装修情况简装#配备电梯无#2019-10-14
819#59939元/平米#金丽广场#徐汇 田林 内环至中环#近9号线桂林路站#房屋户型3室2厅0厨2卫#建筑面积136.64㎡#房屋朝向南#装修情况简装#配备电梯有#2019-10-19
402#39178元/平米#新南路壹号(公寓)#松江 莘闵别墅 外环外##房屋户型3室2厅0厨2卫#建筑面积102.61㎡#房屋朝向南#装修情况精装#配备电梯有#2019-11-14
205#29050元/平米#春江三月公寓二期#青浦 华新 ##房屋户型2室1厅1厨1卫#建筑面积70.57㎡#房屋朝向南#装修情况毛坯#配备电梯暂无数据#2019-11-14
346#41592元/平米#盐湖新居#嘉定 江桥 外环外##房屋户型2室2厅1厨1卫#建筑面积83.19㎡#房屋朝向南#装修情况精装#配备电梯有#2019-11-21
290#55323元/平米#景峰苑#静安 阳城 内环至中环##房屋户型2室1厅0厨1卫#建筑面积52.42㎡#房屋朝向南#装修情况精装#配备电梯无#2019-11-24
325#47116元/平米#市光二村#杨浦 中原 中环至外环##房屋户型3室1厅1厨1卫#建筑面积68.98㎡#房屋朝向南#装修情况简装#配备电梯无#2019-11-29
1060#85830元/平米#尚浦名邸#杨浦 新江湾城 中环至外环#近10号线(新江湾城-虹桥火车站)三门路站#房屋户型2室2厅1厨2卫#建筑面积123.5㎡#房屋朝向南#装修情况精装#配备电梯有#2019-11-30
245#35518元/平米#江桥二村#嘉定 江桥 外环外##房屋户型2室1厅1厨1卫#建筑面积68.98㎡#房屋朝向南 北#装修情况简装#配备电梯无#2019-11-30
425#78602元/平米#蒲汇新村#闵行 七宝 外环外#近9号线七宝站#房屋户型2室1厅1厨1卫#建筑面积54.07㎡#房屋朝向南#装修情况简装#配备电梯无#2019-12-07
359#37790元/平米#三盛颐景园(公寓)#松江 九亭 外环外##房屋户型3室2厅1厨1卫#建筑面积95㎡#房屋朝向南#装修情况简装#配备电梯无#2019-12-07
640#60418元/平米#恒大华城长清苑#浦东 杨思前滩 内环至中环#近8号线杨思站#房屋户型3室2厅1厨2卫#建筑面积105.93㎡#房屋朝向南#装修情况简装#配备电梯无#2019-12-09
618#69198元/平米#金地未未来#浦东 高行 中环至外环#近6号线洲海路站#房屋户型2室2厅1厨1卫#建筑面积89.31㎡#房屋朝向南#装修情况精装#配备电梯有#2019-12-11
539#47848元/平米#金鼎香樟苑(西区)#嘉定 丰庄 中环至外环##房屋户型3室2厅1厨1卫#建筑面积112.65㎡#房屋朝向南 北#装修情况精装#配备电梯有#2019-12-15
575#67126元/平米#铁岭路50弄#杨浦 鞍山 内环内#近10号线(新江湾城-虹桥火车站)同济大学站#房屋户型3室1厅1厨1卫#建筑面积85.66㎡#房屋朝向南 东#装修情况精装#配备电梯有#2019-12-15
1200#106800元/平米#巨鹿路845弄#静安 静安寺 内环内#近2号线静安寺站#房屋户型3室2厅1厨2卫#建筑面积112.36㎡#房屋朝向南#装修情况精装#配备电梯无#2019-12-15
395#37738元/平米#上海康城#闵行 莘庄 外环外##房屋户型2室2厅1厨1卫#建筑面积104.67㎡#房屋朝向南#装修情况简装#配备电梯有#2019-12-21
530#58377元/平米#嘉城香馥湾#嘉定 江桥 外环外##房屋户型4室2厅1厨1卫#建筑面积90.79㎡#房屋朝向南 北#装修情况精装#配备电梯有#2019-12-21
218#39125元/平米#茂盛花苑#闵行 七宝 外环外##房屋户型2室1厅1厨1卫#建筑面积55.72㎡#房屋朝向南#装修情况简装#配备电梯无#2019-12-23
322#53013元/平米#金杨七街坊#浦东 金杨 内环至中环#近6号线云山路站#房屋户型2室1厅1厨1卫#建筑面积60.74㎡#房屋朝向南#装修情况精装#配备电梯无#2019-12-24
650#53671元/平米#大华朗香花园(二期)#宝山 上大 中环至外环#近7号线祁华路站#房屋户型3室2厅1厨2卫#建筑面积121.11㎡#房屋朝向南 北#装修情况精装#配备电梯有#2019-12-25
389#52187元/平米#真光七街坊#普陀 真光 中环至外环##房屋户型3室1厅0厨1卫#建筑面积74.54㎡#房屋朝向南#装修情况简装#配备电梯无#2019-12-30
610#61209元/平米#和欣国际花园#宝山 共康 中环至外环#近1号线呼兰路站#房屋户型2室2厅1厨1卫#建筑面积99.66㎡#房屋朝向南 北#装修情况精装#配备电梯有#2019-12-31
755#86872元/平米#中瑞公寓#徐汇 田林 内环至中环#近3号线宜山路站#房屋户型2室2厅1厨1卫#建筑面积86.91㎡#房屋朝向南#装修情况精装#配备电梯有#2019-12-31
335#42583元/平米#汇丰沁苑#嘉定 江桥 外环外##房屋户型2室2厅1厨1卫#建筑面积78.67㎡#房屋朝向南#装修情况精装#配备电梯有#2020-01-03
818#62130元/平米#万科假日风景(公寓)#闵行 莘庄 外环外##房屋户型3室2厅1厨2卫#建筑面积131.66㎡#房屋朝向西南#装修情况精装#配备电梯有#2020-01-04
312#38222元/平米#三盛颐景园(公寓)#松江 九亭 外环外##房屋户型2室2厅1厨1卫#建筑面积81.63㎡#房屋朝向北 南#装修情况简装#配备电梯无#2020-01-05
550#69789元/平米#东四小区#虹口 曲阳 内环内#近8号线曲阳路站#房屋户型2室1厅1厨1卫#建筑面积78.81㎡#房屋朝向南#装修情况精装#配备电梯有#2020-01-06
